Isolated Ce(3) Internal Energy,Isolated Ce(3) Free Energy,Isolated Ce(3) Entropy,Ce(3) with SOC Internal Energy,Ce(3) with SOC Free Energy,Ce(3) with SOC Entropy,Ce(3) with SOC and CFS Internal Energy,Ce(3) with SOC and CFS Free Energy,Ce(3) with SOC and CFS Entropy
8.881784197001252e-16,-0.2009993125636505,0.00022741636507201714,0.0091497911766516,-0.13899476020652415,0.00016760803606517913,0.019724557752710314,-0.11545589213494518,0.0001529371589065057
8.881784197001252e-16,-0.20490444206488714,0.0002274163650720154,0.009790046392168517,-0.14187901366654496,0.0001683253909609975,0.020628179174379202,-0.11809080430363074,0.00015394978733798519
-0.0,-0.20880957156612379,0.00022741636507201627,0.010447040555005671,-0.1447756322193261,0.00016904762247715258,0.021543753581846126,-0.12074305654857298,0.0001549564489758187
-8.881784197001252e-16,-0.21271470106736046,0.0002274163650720154,0.011119887950401974,-0.14768468959000272,0.00016977359338490958,0.022470504242526612,-0.12341254093512351,0.0001559565262657047
-0.0,-0.21661983056859707,0.0002274163650720154,0.011807699789906145,-0.1506062404769897,0.00017050222525244203,0.023407660365771132,-0.1260991392688093,0.00015694944165477436
-8.881784197001252e-16,-0.2205249600698337,0.0002274163650720154,0.012509588718740972,-0.1535403215683694,0.00017123249894033295,0.024354459478554524,-0.1288027237798329,0.00015793465720748915
8.881784197001252e-16,-0.22443008957107036,0.00022741636507201454,0.013224672840598473,-0.15648695256180925,0.0001719634545592416,0.02531014957418698,-0.13152315779916754,0.00015891167402289725
-0.0,-0.22833521907230694,0.00022741636507201627,0.013952079284142549,-0.15944613717949488,0.00017269419096984165,0.026273991037439437,-0.13426029642304355,0.00015988003147726594
-1.7763568394002505e-15,-0.23224034857354361,0.0002274163650720154,0.014690947337387072,-0.16241786417087448,0.00017342386489751626,0.02724525835207814,-0.13701398716303323,0.0001608393063157118
-8.881784197001252e-16,-0.23614547807478023,0.00022741636507201454,0.015440431177188962,-0.16540210829718735,0.0001741516897269691,0.028223241598653637,-0.13978407057934072,0.0001617891116156532
-8.881784197001252e-16,-0.2400506075760169,0.00022741636507201714,0.016199702221703305,-0.1683988312928108,0.0001748769340348755,0.02920724775193939,-0.14257038089528803,0.00016272909564363745
-0.0,-0.24395573707725354,0.00022741636507201627,0.016967951133697312,-0.1714079827993952,0.00017559891991221575,0.03019660178850536,-0.14537274659134444,0.0001636589406257159
-0.0,-0.24786086657849016,0.0002274163650720154,0.017744389502214908,-0.17442950126959392,0.0001763170211218851,0.031190647615628286,-0.1481909909773833,0.00016457836145005508
-0.0,-0.25176599607972683,0.00022741636507201627,0.01852825122953483,-0.17746331483792463,0.0001770306611315652,0.03218874883321021,-0.15102493274215442,0.00016548710431872008
-0.0,-0.25567112558096344,0.0002274163650720154,0.019318793649342858,-0.18050934215694062,0.00017773931105667835,0.03319028934060686,-0.15387438647923835,0.00016638494536403477
-0.0,-0.25957625508220006,0.0002274163650720154,0.02011529840104398,-0.18356749319744686,0.000178442487543686,0.03419467380028074,-0.15673916318900005,0.0001672716892432884
-1.7763568394002505e-15,-0.26348138458343673,0.00022741636507201627,0.020917072083926236,-0.18663767001197631,0.0001791397506196975,0.03520132797004116,-0.1596190707562806,0.00016814716772394107
1.7763568394002505e-15,-0.2673865140846734,0.00022741636507201714,0.02172344671352011,-0.1897197674611537,0.0001798307015305773,0.036209698915374844,-0.1625139144037617,0.0001690112382700679
-1.7763568394002505e-15,-0.27129164358590996,0.00022741636507201454,0.022533780001213977,-0.19281367390292536,0.00018051498058635398,0.03721925511297908,-0.16542349712111115,0.00016986378263933628
-1.7763568394002505e-15,-0.27519677308714663,0.0002274163650720154,0.023347455476810275,-0.1959192718449275,0.00018119226502971448,0.03822948645623203,-0.16834762007016316,0.00017070470549851273
-0.0,-0.2791019025883833,0.00022741636507201887,0.024163882472200804,-0.19903643856051156,0.000181862266940596,0.03923990417268097,-0.17128608296651468,0.0001715339330642801
1.7763568394002505e-15,-0.28300703208961997,0.00022741636507201714,0.02498249598321234,-0.20216504666914997,0.00018252473118766151,0.04025004066326332,-0.1742386844380273,0.00017235141177507872
1.7763568394002505e-15,-0.28691216159085653,0.0002274163650720154,0.025802756425103546,-0.205304964682108,0.000183179433435203,0.041259449272281756,-0.17720522236081027,0.00017315710699866965
1.7763568394002505e-15,-0.29081729109209326,0.00022741636507201714,0.026624149296076816,-0.20845605751439938,0.00018382617821226764,0.04226770399662616,-0.18018549417333515,0.00017395100177916047
